student_id,name,branch,college_tier,cgpa,backlogs,coding_skills,internships,projects_count,placement_status,salary_package_lpa
STU00001,Himmel,CSE,Tier-3,6.04,1,6.7,1,3,0,
STU00002,Gojo,CE,Tier-3,7.39,1,4.5,2,1,1,6.65
STU00003,Robin,ME,Tier-3,7.78,0,3.9,0,3,1,9.17
STU00004,Bokuto,EE,Tier-2,6.83,0,7.8,1,1,1,10.16
STU00005,Todoroki,EE,Tier-2,5.85,0,8.8,0,1,1,9.4
STU00006,Frieza,Chemical,Tier-2,6.42,1,3.8,2,1,0,
STU00007,Itachi,CSE,Tier-2,7.56,0,5.5,0,3,1,12.08
STU00008,Todoroki,ME,Tier-3,7.17,0,6.3,2,2,0,
STU00009,Isagi,IT,Tier-3,6.14,2,5.3,2,1,1,9.29
STU00010,Deku,CSE,Tier-3,6.76,2,6.6,0,2,1,8.65
STU00011,Baji,EE,Tier-2,7.9,0,6.9,0,3,1,11.8
STU00012,Askeladd,Chemical,Tier-2,7.38,1,6.6,0,4,0,
STU00013,Saitama,CE,Tier-3,6.26,2,4.6,0,2,0,
STU00014,Shinji,CE,Tier-2,7.43,0,5.6,1,3,1,10.63
STU00015,Garou,CE,Tier-1,6.69,0,5.4,0,2,1,12.51
STU00016,Gojo,CE,Tier-3,6.62,1,4.9,1,1,1,9.23
STU00017,Ayanokoji,EE,Tier-3,7.32,2,4.7,0,3,1,8.47
STU00018,Bachira,CSE,Tier-1,6.21,2,5.8,0,2,1,11.34
STU00019,Shikamaru,CE,Tier-2,6.8,0,3.1,0,2,0,
STU00020,Momo Ayase,EE,Tier-3,8.14,2,4.4,0,3,0,
STU00021,Megumi,EE,Tier-3,9.42,0,9.6,0,1,1,10.91
STU00022,Escanor,ECE,Tier-2,5.66,1,5.6,0,2,0,
STU00023,King,IT,Tier-3,6.41,0,3.3,1,2,1,8.98
STU00024,Kirito,Chemical,Tier-2,8.22,1,9.4,2,3,1,10.87
STU00025,Beru,CE,Tier-3,6.07,0,6.2,0,2,0,
STU00026,Bokuto,ME,Tier-3,7.08,0,3.9,1,1,0,
STU00027,Bond,ECE,Tier-3,8.82,0,6.8,1,2,1,8.99
STU00028,Teruki,CE,Tier-3,6.54,0,6.5,3,4,0,
STU00029,Killua,EE,Tier-2,6.97,0,5.3,1,0,1,8.61
STU00030,Denji,EE,Tier-1,6.04,0,4.5,0,4,1,8.69
STU00031,Isagi,EE,Tier-3,7.82,0,4.5,2,2,1,8.19
STU00032,Baji,IT,Tier-1,5.59,1,6.9,0,4,0,
STU00033,Bachira,CSE,Tier-3,6.58,1,6.1,0,2,0,
STU00034,Gohan,EE,Tier-2,6.03,0,6.7,0,4,1,8.0
STU00035,Trunks,Chemical,Tier-1,6.91,0,8.1,0,1,1,11.09
STU00036,Ishikawa,CSE,Tier-3,8.87,1,5.3,1,3,0,
STU00037,Komugi,Chemical,Tier-2,7.55,0,8.6,0,1,1,9.13
STU00038,Cha Haein,CE,Tier-3,7.41,1,5.7,2,4,0,
STU00039,Meruem,IT,Tier-2,7.47,1,7.0,0,4,0,
STU00040,Zenitsu,ME,Tier-1,7.18,0,5.6,0,2,0,
STU00041,Himmel,IT,Tier-1,8.36,0,7.2,0,5,1,15.55
STU00042,Makima,CE,Tier-2,7.9,2,9.4,0,1,0,
STU00043,Gaara,ME,Tier-3,6.03,1,8.9,1,2,1,5.8
STU00044,Reiner,ECE,Tier-2,8.08,0,7.7,1,4,1,13.6
STU00045,Sung Jinwoo,CSE,Tier-1,7.41,0,7.0,0,0,1,11.52
STU00046,Barou,Chemical,Tier-3,7.61,1,4.3,2,3,1,10.11
STU00047,Baji,EE,Tier-1,5.39,1,5.0,1,4,1,7.46
STU00048,Nami,Chemical,Tier-2,7.2,0,4.2,1,0,0,
STU00049,Bulma,ME,Tier-3,7.07,1,4.1,1,3,1,9.21
STU00050,Gohan,CE,Tier-3,6.58,0,6.2,0,1,1,6.06
STU00051,Soma,CE,Tier-2,8.17,2,5.2,1,2,1,9.37
STU00052,Todoroki,IT,Tier-3,5.73,1,7.6,0,4,1,9.45
STU00053,Megumi,ECE,Tier-2,9.92,2,6.2,0,2,1,11.82
STU00054,Maki,EE,Tier-1,6.19,2,6.0,0,2,0,
STU00055,Rukia,EE,Tier-1,7.62,1,7.4,1,2,1,14.68
STU00056,Anya,CSE,Tier-3,7.39,0,5.3,0,4,0,
STU00057,Hori,EE,Tier-2,8.25,0,4.6,2,4,0,
STU00058,Goku,IT,Tier-3,8.7,1,7.2,2,2,1,12.83
STU00059,Barou,CE,Tier-1,6.81,1,8.8,1,1,1,12.75
STU00060,Momo Ayase,ME,Tier-1,7.36,0,3.6,0,3,0,
STU00061,Meliodas,Chemical,Tier-3,6.82,0,5.1,1,2,0,
STU00062,Nanami,CE,Tier-3,6.33,0,7.2,3,2,0,
STU00063,Lelouch,ECE,Tier-1,7.23,0,6.5,0,1,0,
STU00064,Ryuuen,Chemical,Tier-2,7.18,0,3.8,1,3,0,
STU00065,Erza,ECE,Tier-3,7.21,0,5.1,1,3,1,8.24
STU00066,Canute,ECE,Tier-2,6.86,0,7.2,0,3,1,10.58
STU00067,Aki,Chemical,Tier-2,7.51,0,7.0,2,0,1,11.04
STU00068,Bond,ECE,Tier-2,7.9,0,5.6,0,3,0,
STU00069,Toji,CSE,Tier-3,6.11,0,6.7,1,2,1,10.23
STU00070,Yuki Yoshikawa,EE,Tier-2,7.76,0,1.8,2,3,1,11.1
STU00071,Bulma,CE,Tier-2,8.61,3,6.1,0,3,0,
STU00072,Natsu,IT,Tier-2,6.05,0,6.5,1,3,0,
STU00073,Canute,EE,Tier-1,7.34,0,4.1,0,3,1,9.77
STU00074,Near,CSE,Tier-2,7.61,1,7.2,1,4,1,11.89
STU00075,Anya,ME,Tier-2,7.91,0,5.9,0,3,1,11.02
STU00076,Goku,EE,Tier-3,8.01,0,5.2,2,1,1,10.0
STU00077,Erwin,ECE,Tier-2,8.28,1,5.8,1,2,1,11.33
STU00078,Beatrice,IT,Tier-1,7.32,2,1.7,0,1,0,
STU00079,Luffy,EE,Tier-3,6.3,0,7.1,1,3,0,
STU00080,Seiko Ayase,ME,Tier-2,6.88,0,7.8,0,3,0,
STU00081,Armin,Chemical,Tier-2,8.5,2,7.5,0,2,0,
STU00082,Winry,EE,Tier-1,6.41,1,5.0,1,3,1,10.69
STU00083,Levi,IT,Tier-3,7.67,0,6.4,2,4,1,12.74
STU00084,Aira Shiratori,CE,Tier-3,7.96,1,8.0,0,5,1,11.32
STU00085,Kakashi,ME,Tier-3,7.75,1,4.9,0,2,0,
STU00086,Muichiro,ME,Tier-3,8.04,0,6.5,1,4,1,10.55
STU00087,Jiraiya,CSE,Tier-2,7.17,0,5.7,0,2,1,9.46
STU00088,Riza Hawkeye,ECE,Tier-3,7.11,1,5.7,1,3,0,
STU00089,Reiner,CE,Tier-2,8.83,0,9.1,1,4,1,12.35
STU00090,Zenitsu,CE,Tier-2,8.98,1,5.7,2,4,1,11.19
STU00091,Pochita,EE,Tier-2,8.5,1,6.3,0,4,1,13.65
STU00092,Byakuya,CE,Tier-1,7.69,0,6.8,1,3,0,
STU00093,Ichigo,CE,Tier-2,6.68,1,10.0,3,1,1,10.62
STU00094,Loid,ECE,Tier-2,7.32,1,4.8,1,2,0,
STU00095,Nishinoya,Chemical,Tier-3,7.08,1,4.7,1,3,1,9.07
STU00096,Sukuna,ECE,Tier-3,8.19,0,5.7,1,3,0,
STU00097,Komugi,IT,Tier-3,7.55,1,5.0,1,2,1,9.3
STU00098,Mob,ME,Tier-2,7.73,0,7.1,0,2,0,
STU00099,Ban,ME,Tier-2,7.17,1,6.5,1,3,1,11.64
STU00100,Light,CSE,Tier-3,4.95,1,4.2,1,3,0,
STU00101,Piccolo,CE,Tier-2,8.38,1,5.8,0,0,1,9.41
STU00102,Tsukishima,IT,Tier-2,7.14,0,6.5,0,2,1,11.46
STU00103,Franky,CE,Tier-1,8.07,2,8.9,0,1,1,10.84
STU00104,Uraraka,CSE,Tier-2,6.9,2,6.1,0,3,1,12.53
STU00105,Deku,CE,Tier-2,8.66,0,5.4,1,3,1,11.04
STU00106,Erwin,CE,Tier-3,6.72,1,6.5,1,4,1,7.04
STU00107,Dimple,CE,Tier-3,7.14,0,5.5,2,3,1,8.5
STU00108,Kenpachi,ME,Tier-3,7.21,0,7.2,0,5,1,8.5
STU00109,Ayanokoji,EE,Tier-2,5.84,0,6.5,0,2,1,9.76
STU00110,Frieza,ME,Tier-2,7.57,0,4.2,1,4,1,9.77
STU00111,Franky,IT,Tier-3,7.94,0,8.9,1,1,1,13.84
STU00112,Edward,CE,Tier-2,7.58,0,6.5,2,2,1,13.79
STU00113,Thorkell,EE,Tier-2,9.29,2,5.0,0,1,1,13.68
STU00114,Ryuk,EE,Tier-3,6.4,3,5.2,0,2,0,
STU00115,Lelouch,EE,Tier-2,5.65,1,7.8,1,4,0,
STU00116,Erwin,EE,Tier-2,6.13,2,4.2,3,2,1,10.35
STU00117,Canute,CSE,Tier-2,7.28,1,6.2,1,1,0,
STU00118,Luffy,CSE,Tier-3,8.28,0,5.9,1,1,0,
STU00119,Franky,IT,Tier-2,7.36,1,7.5,0,4,1,12.23
STU00120,Canute,CSE,Tier-2,6.76,2,6.3,0,1,0,
STU00121,Ryuuen,EE,Tier-1,8.55,0,6.1,1,2,1,16.32
STU00122,Power,ME,Tier-3,7.1,1,5.6,1,4,0,
STU00123,Teruki,ME,Tier-3,5.96,1,5.8,1,4,0,
STU00124,Hori,EE,Tier-3,8.1,1,7.2,0,1,1,10.49
STU00125,King,CE,Tier-3,7.78,0,5.2,0,3,1,8.01
STU00126,Kenpachi,EE,Tier-1,7.41,1,6.5,2,2,1,12.09
STU00127,Okarun,CSE,Tier-1,8.66,0,7.8,2,1,1,15.37
STU00128,Gaara,CE,Tier-2,7.11,0,4.3,2,5,1,10.48
STU00129,Gojo,ME,Tier-2,7.45,0,6.8,1,3,0,
STU00130,Shinji,ME,Tier-3,6.32,1,6.7,0,1,0,
STU00131,Vegeta,EE,Tier-2,6.57,0,7.0,2,3,1,10.09
STU00132,Soma,EE,Tier-3,6.77,0,5.4,0,3,0,
STU00133,Sengoku,CSE,Tier-2,7.82,0,9.1,0,3,1,14.05
STU00134,Naruto,EE,Tier-3,6.59,0,5.6,0,4,0,
STU00135,Mitsuri,CE,Tier-3,7.11,0,8.9,1,1,1,7.51
STU00136,Deku,ECE,Tier-2,7.0,1,6.9,1,1,1,9.62
STU00137,Riza Hawkeye,ME,Tier-3,7.15,2,8.8,0,2,1,10.62
STU00138,King,CSE,Tier-3,6.51,2,9.3,0,1,0,
STU00139,Reigen,ECE,Tier-3,7.01,0,6.6,0,2,0,
STU00140,Aira Shiratori,EE,Tier-3,6.16,0,8.1,0,1,1,7.68
STU00141,Aizawa,Chemical,Tier-2,7.16,0,8.8,0,2,1,10.94
STU00142,Near,IT,Tier-2,7.17,0,8.4,0,2,1,12.17
STU00143,Bond,IT,Tier-3,7.27,0,4.3,1,4,1,12.23
STU00144,Erwin,ECE,Tier-3,7.7,1,5.3,2,1,1,10.34
STU00145,Sukuna,Chemical,Tier-3,8.83,1,6.0,1,2,0,
STU00146,Giorno,CE,Tier-2,5.71,0,7.5,2,4,1,10.51
STU00147,Power,CSE,Tier-2,6.87,0,4.9,1,4,0,
STU00148,Erza,IT,Tier-2,6.38,1,4.7,0,0,0,
STU00149,Natsu,CE,Tier-3,7.48,1,6.5,0,3,1,9.75
STU00150,Rem,CSE,Tier-2,7.84,2,5.6,1,3,0,
STU00151,Meliodas,CE,Tier-2,6.11,0,4.4,2,2,1,6.25
STU00152,Tsukishima,IT,Tier-1,7.49,1,6.0,1,2,0,
STU00153,Momo Ayase,Chemical,Tier-2,7.98,0,6.2,1,2,0,
STU00154,Yuji,ECE,Tier-2,7.58,1,7.5,0,1,1,10.2
STU00155,Jiraiya,EE,Tier-3,6.9,0,5.4,0,3,1,5.54
STU00156,Natsu,ME,Tier-1,7.81,1,4.3,1,2,1,10.44
STU00157,Sung Jinwoo,CSE,Tier-2,6.97,1,7.8,1,3,1,11.39
STU00158,Robin,EE,Tier-1,8.01,1,6.1,1,5,1,11.38
STU00159,Franky,EE,Tier-1,7.52,0,6.7,1,5,1,14.65
STU00160,Thomas Andre,CE,Tier-3,7.03,2,4.1,1,4,1,7.22
STU00161,Gintoki,Chemical,Tier-3,6.07,1,5.9,0,2,1,6.44
STU00162,Beru,ME,Tier-3,7.22,1,5.8,0,4,1,7.96
STU00163,Jiraiya,ECE,Tier-3,6.24,0,5.3,1,1,0,
STU00164,Chigiri,ECE,Tier-1,6.22,1,5.6,1,2,0,
STU00165,Naruto,ECE,Tier-3,6.89,0,3.5,1,3,1,5.06
STU00166,Renji,CE,Tier-2,7.13,0,6.5,1,1,1,9.1
STU00167,Hinata,ECE,Tier-3,6.13,0,4.4,3,4,0,
STU00168,Gaara,IT,Tier-3,7.05,3,3.6,0,1,1,5.75
STU00169,Bakugo,ECE,Tier-2,6.99,0,6.6,0,0,1,10.03
STU00170,Nami,CSE,Tier-2,6.66,2,5.5,3,1,0,
STU00171,Himmel,CSE,Tier-1,6.97,2,6.8,0,3,1,12.82
STU00172,Bond,CSE,Tier-2,7.78,1,8.8,0,2,0,
STU00173,Lelouch,CE,Tier-2,6.85,1,6.5,0,4,1,9.68
STU00174,Byakuya,CE,Tier-3,7.72,0,3.9,0,1,1,6.85
STU00175,L,ME,Tier-1,7.13,0,6.2,0,3,1,12.27
STU00176,Bond,EE,Tier-3,8.12,0,2.4,0,3,0,
STU00177,Bulma,CE,Tier-2,7.93,1,6.6,0,2,0,
STU00178,Near,IT,Tier-1,7.01,1,9.0,1,0,1,12.74
STU00179,Mello,Chemical,Tier-2,6.59,3,5.9,1,1,0,
STU00180,Rem,EE,Tier-2,7.64,0,8.1,1,2,1,11.8
STU00181,Okarun,Chemical,Tier-2,6.73,0,6.4,0,1,0,
STU00182,Kirito,IT,Tier-2,5.79,0,4.5,0,5,0,
STU00183,Nobara,EE,Tier-1,7.86,0,6.3,3,1,1,14.85
STU00184,Sukuna,ME,Tier-2,6.65,0,6.1,0,4,1,10.83
STU00185,Mitsuri,EE,Tier-3,5.34,1,9.7,0,2,0,
STU00186,Suzaku,EE,Tier-3,7.13,2,6.1,2,2,0,
STU00187,Shinobu,IT,Tier-2,8.04,0,8.6,1,1,1,12.77
STU00188,Askeladd,ECE,Tier-3,6.67,0,6.3,2,1,0,
